country,tests,testpop,density,urbanpop,quarantine,schools,restrictions,hospibed,medianage,gdp2018,crime_index,population2020,smoking2016,females2018
Romania,3708,5188.158306,84,55,,,,6.3,41.1,2.39553E+11,27.84,19237.691,29.7,51.34374306
Saudi Arabia,NA,NA,16,84,,,,2.7,27.5,7.86522E+11,28.22,34813.871,15.6,42.44584798
Serbia,NA,NA,100,56,,,,5.7,42.6,50597289147,37.63,8737.371,38.9,51.00252296
Singapore,NA,NA,8358,99,,,,2.4,34.6,3.64157E+11,27.7,5850.342,16.5,47.65812541
Slovenia,6712,309.7345054,103,55,,,,4.6,44.5,54007972106,22.01,2078.938,22.5,50.24520703
South Africa,645,91951.45736,49,67,,,,2.8,27.1,3.68289E+11,77.02,59308.69,20.3,50.69415038
Spain,NA,NA,94,80,3/15/20,,,3,42.7,1.41904E+12,31.07,46754.778,29.3,50.89664131
Sri Lanka,NA,NA,341,18,,,,3.6,32.8,88900770858,40.15,21413.249,13,51.96681766
Sweden,14300,706.2423077,25,88,,3/17/20,3/11/20,2.6,41.2,5.56086E+11,47.21,10099.265,18.8,49.94577617
Switzerland,4000,2163.6555,219,74,,3/13/20,3/16/20,4.7,42.4,7.0514E+11,21.18,8654.622,25.7,50.42712466
Tanzania,NA,NA,67,37,,,,0.7,17.7,58001200572,59.83,59734.218,14.8,50.05101091
Thailand,7084,9853.187182,137,51,,,,2.1,37.7,5.04993E+11,41.29,69799.978,19.9,51.26870461
Tunisia,NA,NA,76,70,,,,2.3,31.6,39871132268,40.64,11818.619,32.7,50.43715186
Turkey,NA,NA,110,76,,3/16/20,3/16/20,2.7,30.9,7.7135E+11,39.86,84339.067,27.2,50.6778132
United States,62657,5282.772093,36,83,,,,2.9,38.1,2.05443E+13,46.73,331002.651,21.8,50.52001465
Ukraine,500,87467.524,75,69,,,,8.8,40.6,1.30832E+11,49.04,43733.762,28.9,53.6877507
United Arab Emirates,125000,79.123216,118,86,,,,1.2,30.3,4.14179E+11,15.52,9890.402,28.9,30.63668795
United Kingdom,50442,1345.823143,281,83,,3/20/20,3/20/20,2.8,40.5,2.8553E+12,43.64,67886.011,22.3,50.63527456
Uruguay,NA,NA,20,96,,,,2.8,35,59596885024,52.33,3473.73,16.8,51.72154269
Vietnam,9696,10039.04486,314,38,,,,2.6,30.5,2.45214E+11,48.22,97338.579,22.8,50.09640962
Afghanistan,NA,NA,60,25,,,,0.5,18,NA,NA,NA,NA,NA
Andorra,NA,NA,164,88,,,,2.5,45,NA,NA,NA,NA,NA
Antigua and Barbuda,NA,NA,223,26,,,,3.8,34,NA,NA,NA,NA,NA
Aruba,NA,NA,593,44,,,,1.2,41,NA,NA,NA,NA,NA
Barbados,NA,NA,668,31,,,,5.8,40,NA,NA,NA,NA,NA
Benin,NA,NA,108,48,,,,0.5,19,NA,NA,NA,NA,NA
Bhutan,NA,NA,20,46,,,,1.7,28,NA,NA,NA,NA,NA
Bolivia,NA,NA,11,69,,,,1.1,26,NA,NA,NA,NA,NA
Brunei,NA,NA,83,80,,,,2.7,32,NA,NA,NA,NA,NA
Burkina Faso,NA,NA,76,31,,,,0.4,18,NA,NA,NA,NA,NA
Cameroon,NA,NA,56,56,,,,1.3,19,NA,NA,NA,NA,NA
Central African Republic,NA,NA,8,43,,,,1,18,NA,NA,NA,NA,NA
Congo (Brazzaville),NA,NA,16,70,,,,1.6,19,NA,NA,NA,NA,NA
Congo (Kinshasa),NA,NA,40,46,,,,1.6,17,NA,NA,NA,NA,NA
Cote d'Ivoire,NA,NA,83,51,,,,0.4,19,NA,NA,NA,NA,NA
Cruise Ship,NA,NA,25,100,,,,13.4,62,NA,NA,NA,NA,NA
Czechia,6302,1699.298794,139,74,,3/13/20,3/13/20,6.5,43,NA,NA,NA,NA,NA
Djibouti,NA,NA,43,79,,,,2.2,27,NA,NA,NA,NA,NA
Egypt,NA,NA,103,43,,,,1.6,25,NA,NA,NA,NA,NA
Equatorial Guinea,NA,NA,50,73,,,,2.1,22,NA,NA,NA,NA,NA
Eswatini,NA,NA,67,30,,,,0.8,21,NA,NA,NA,NA,NA
French Guiana,NA,NA,4,87,,,,3.2,25,NA,NA,NA,NA,NA
Gabon,NA,NA,9,87,,,,6.3,23,NA,NA,NA,NA,NA
"Gambia, The",NA,NA,239,59,,,,1.1,18,NA,NA,NA,NA,NA
Greenland,NA,NA,0,87,,,,14.35340023,34,NA,NA,NA,NA,NA
Guadeloupe,NA,NA,237,96,,,,0.7,44,NA,NA,NA,NA,NA
Guam,NA,NA,313,95,,,,2.1,31,NA,NA,NA,NA,NA
Guatemala,NA,NA,167,52,,,,0.6,23,NA,NA,NA,NA,NA
Guernsey,NA,NA,965,86,,,,1.8,44,NA,NA,NA,NA,NA
Guinea,NA,NA,53,39,,,,4.024199963,18,NA,NA,NA,NA,NA
Guyana,NA,NA,4,27,,,,1.6,27,NA,NA,NA,NA,NA
Holy See,NA,NA,2003,100,,,,5,40,NA,NA,NA,NA,NA
Iran,NA,NA,52,76,3/13/20,3/5/20,,1.5,32,NA,NA,NA,NA,NA
Iraq,NA,NA,93,73,,,,1.4,21,NA,NA,NA,NA,NA
Jersey,NA,NA,819,98,,,,6.5,38,NA,NA,NA,NA,NA
Jordan,NA,NA,115,91,,,,1.4,24,NA,NA,NA,NA,NA
"Korea, South",286716,178.8152213,527,82,,2/23/20,,11.5,44,NA,NA,NA,NA,NA
Kosovo,NA,NA,159,65,,,,6.7,29,NA,NA,NA,NA,NA
Kyrgyzstan,1545,4222.779935,34,36,,,,4.5,26,NA,NA,NA,NA,NA
Liberia,NA,NA,53,53,,,,0.8,19,NA,NA,NA,NA,NA
Liechtenstein,NA,NA,109,15,,,,8.2,41,NA,NA,NA,NA,NA
Martinique,NA,NA,354,92,,,,0.8,47,NA,NA,NA,NA,NA
Mauritania,NA,NA,5,57,,,,0.4,20,NA,NA,NA,NA,NA
Mayotte,NA,NA,728,46,,,,7,20,NA,NA,NA,NA,NA
Monaco,NA,NA,26337,100,,,,13.8,54,NA,NA,NA,NA,NA
North Macedonia,NA,NA,83,59,,,,4.4,39,NA,NA,NA,NA,NA
Paraguay,NA,NA,18,62,,3/10/20,3/10/20,1.3,26,NA,NA,NA,NA,NA
Puerto Rico,NA,NA,323,88,3/16/20,3/16/20,,3.319999933,44,NA,NA,NA,NA,NA
Republic of the Congo,NA,NA,16,46,,,,0.8,17,NA,NA,NA,NA,NA
Reunion,NA,NA,358,100,,,,10.2,36,NA,NA,NA,NA,NA
Russia,116061,1257.394491,9,74,,,,8.2,40,NA,NA,NA,NA,NA
Rwanda,NA,NA,525,18,3/21/20,,,1.6,20,NA,NA,NA,NA,NA
Saint Lucia,NA,NA,301,19,,,,1.3,34,NA,NA,NA,NA,NA
Saint Vincent and the Grenadines,NA,NA,307,78,,,,2.6,33,NA,NA,NA,NA,NA
San Marino,NA,NA,566,97,,,,3.8,47,NA,NA,NA,NA,NA
Senegal,NA,NA,87,49,,,,0.3,19,NA,NA,NA,NA,NA
Seychelles,NA,NA,214,56,,,,3.6,34,NA,NA,NA,NA,NA
Slovakia,1595,3422.973041,114,54,,,,4.8,41,NA,NA,NA,NA,NA
