"country_code","country","air_year","air_passengers","econ_worldrank","econ_regionrank","econ_2019score","econ_propertyrights","econ_judical","econ_gov_integrity","econ_taxburden","econ_govspending","econ_fiscalhealth","econ_businessfreedom","econ_laborfreedom","econ_monetaryfreedom","econ_tradefreedom","econ_investmentfreedom","econ_financialfreedom","econ_tariffrate","econ_incometaxrate","econ_corporatetaxrate","econ_taxburdengdp","econ_govexpendgdp","econ_popmills","econ_gdpbills","econ_gdpgrowthrate","econ_yeargdpgrowthrate","econ_gdppercapita","econ_unemployment","econ_inflation","econ_fdiflowmills","econ_publicdeptofgdp","hospbeds_year","hospbeds_per1k","docs_year","docs_per1k","pollution_960","pollution_961","pollution_962","pollution_963","pollution_964","pollution_965","pollution_966","pollution_967","pollution_968","pollution_969","pollution_970","pollution_971","pollution_972","pollution_973","pollution_974","pollution_975","pollution_976","pollution_977","pollution_978","pollution_979","pollution_980","pollution_981","pollution_982","pollution_983","pollution_984","pollution_985","pollution_986","pollution_987","pollution_988","pollution_989","pollution_990","pollution_991","pollution_992","pollution_993","pollution_994","pollution_995","pollution_996","pollution_997","pollution_998","pollution_999","pollution_000","pollution_001","pollution_002","pollution_003","pollution_004","pollution_005","pollution_006","pollution_007","pollution_008","pollution_009","pollution_010","pollution_011","pollution_012","pollution_013","pollution_014","pollution_015","pollution_016","pollution_017","pollution_018","pollution_019","pop65above_year","pop65above_percent","prisoncount_year","prison_count","prisonrate_year","prison_rate","rail_year","rail_millionpassengerkm","sars_cases","sars_deaths","sars_recovered"
"BHS","Bahamas",2018,1197116.197,"76","15","62.9","42.2","46.9","43.7","97.3","86.8","65.7","68.5","67.5","78.1","47.8","50","60","18.6","0.0","0.0","16.3","21.0","0.4","$11.6 ","1.3","-0.7","$31,139","12.6","1.4","927.7","57.2",2013,2.9,2013,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,7.257602357,"2016","1746","2016","446.7",NA,NA,0,0,0
"BIH","Bosnia and Herzegovina",2015,7071,"83","37","61.9","40.2","37.9","30.2","84.3","46.1","96.6","49.7","67.0","83.1","82.6","65","60","1.2","10.0","10.0","37.0","42.4","3.5","$44.6 ","2.7","2.5","$12,724","25.6","1.3","425.2","41.0",2013,3.5,2013,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,16.47031747,"2016","2832","2016","80.3",2018,30.435026,0,0,0
"BLR","Belarus",2018,2760168,"104","42","57.9","55.2","51.7","37.7","89.4","41.3","85.4","75.0","75.3","67.0","76.4","30","10","1.8","13.0","18.0","23.8","44.2","9.5","$178.9 ","2.4","-0.3","$18,931","0.5","6.0","1,276.4","51.0",2013,11,2013,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,14.84514817,"2017","32500","2017","343.3",2018,6215.3,0,0,0
"BLZ","Belize",2018,1297533.223,"123","24","55.4","41.7","46.9","27.2","79.9","65.9","39.1","61.8","54.8","78.7","64.0","55","50","10.5","25.0","25.0","27.6","33.7","0.4","$3.2 ","0.8","1.8","$8,324","9.3","1.1","77.0","99.0",2014,1.3,2014,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.736458777,"2017","1297","2017","345.9",NA,NA,0,0,0
"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,6.300000191,1996,6.300000191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015","209","2015","337.1",NA,NA,0,0,0
"BOL","Bolivia",2018,4122113,"173","30","42.3","20.5","12.3","19.7","82.4","49.3","17.6","58.8","52.9","68.8","70.4","15","40","4.8","13.0","25.0","31.1","41.1","11.1","$83.6 ","4.2","5.1","$7,547","3.1","2.8","724.7","50.9",2014,1.1,2014,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,7.191947392,"2017","17946","2017","162.4",NA,NA,0,0,0
"BRA","Brazil",2018,102109977,"150","27","51.9","57.3","51.7","28.1","70.5","55.2","5.9","57.9","51.9","75.5","69.0","50","50","8.0","27.5","34.0","32.2","38.6","207.7","$3,240.3 ","1.0","-0.5","$15,603","13.3","3.4","62,712.6","84.0",2014,2.2,2014,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,8.922837832,"2017","700489","2017","334.7",2017,15807,162,0,117
"BRB","Barbados",1991,0,"67","13","64.7","52.9","59.9","53.8","70.1","65.0","79.5","69.8","59.9","78.3","56.6","70","60","14.2","35.0","25.0","33.7","34.1","0.3","$5.2 ","0.9","0.6","$18,664","9.7","4.4","286.2","132.9",2014,5.8,2014,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,15.80269396,"2017","874","2017","305.6",NA,NA,0,0,0
"BRN","Brunei",2018,1234455,"63","14","65.1","64.0","56.0","43.7","90.7","59.9","20.0","80.2","90.8","76.5","84.0","65","50","0.5","0.0","18.5","24.2","36.6","0.4","$33.5 ","0.5","-1.4","$78,196","7.1","-0.1","-46.3","2.7",2015,2.7,2015,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.873147568,"2015","565","2015","135.3",NA,NA,0,0,0
"BRN","Brunei",2018,1234455,"63","14","65.1","64.0","56.0","43.7","90.7","59.9","20.0","80.2","90.8","76.5","84.0","65","50","0.5","0.0","18.5","24.2","36.6","0.4","$33.5 ","0.5","-1.4","$78,196","7.1","-0.1","-46.3","2.7",2015,2.7,2015,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.873147568,"2014","132","2014","126.9",NA,NA,0,0,0
