"country_code","country","air_year","air_passengers","econ_worldrank","econ_regionrank","econ_2019score","econ_propertyrights","econ_judical","econ_gov_integrity","econ_taxburden","econ_govspending","econ_fiscalhealth","econ_businessfreedom","econ_laborfreedom","econ_monetaryfreedom","econ_tradefreedom","econ_investmentfreedom","econ_financialfreedom","econ_tariffrate","econ_incometaxrate","econ_corporatetaxrate","econ_taxburdengdp","econ_govexpendgdp","econ_popmills","econ_gdpbills","econ_gdpgrowthrate","econ_yeargdpgrowthrate","econ_gdppercapita","econ_unemployment","econ_inflation","econ_fdiflowmills","econ_publicdeptofgdp","hospbeds_year","hospbeds_per1k","docs_year","docs_per1k","pollution_960","pollution_961","pollution_962","pollution_963","pollution_964","pollution_965","pollution_966","pollution_967","pollution_968","pollution_969","pollution_970","pollution_971","pollution_972","pollution_973","pollution_974","pollution_975","pollution_976","pollution_977","pollution_978","pollution_979","pollution_980","pollution_981","pollution_982","pollution_983","pollution_984","pollution_985","pollution_986","pollution_987","pollution_988","pollution_989","pollution_990","pollution_991","pollution_992","pollution_993","pollution_994","pollution_995","pollution_996","pollution_997","pollution_998","pollution_999","pollution_000","pollution_001","pollution_002","pollution_003","pollution_004","pollution_005","pollution_006","pollution_007","pollution_008","pollution_009","pollution_010","pollution_011","pollution_012","pollution_013","pollution_014","pollution_015","pollution_016","pollution_017","pollution_018","pollution_019","pop65above_year","pop65above_percent","prisoncount_year","prison_count","prisonrate_year","prison_rate","rail_year","rail_millionpassengerkm","sars_cases","sars_deaths","sars_recovered"
"GAB","Gabon",2016,77320,"118","17","56.3","28.1","30.6","35.5","75.8","86.6","82.1","52.1","53.0","80.0","51.2","60","40","16.9","35.0","30.0","17.3","21.1","1.9","$36.7 ","0.8","3.4","$19,254","19.7","3.0","1,498.0","61.1",2010,6.3,2010,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3.563907468,"2015","3373","2015","174.8",2017,174,0,0,0
"GBR","United Kingdom",2018,165388610,"7","3","78.9","92.3","85.9","83.8","64.7","48.2","68.6","92.9","73.5","81.2","86.0","90","80","2.0","45.0","20.0","33.2","41.6","66.1","$2,914.0 ","1.8","2.2","$44,118","4.3","2.7","15,090.0","87.0",2013,2.8,2013,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,18.39586567,"2017",NA,"2017",NA,2015,2900,414,0,330
"GEO","Georgia",2018,516034,"16","8","75.9","65.9","54.6","58.5","87.1","73.6","93.9","85.8","76.6","76.0","88.6","80","70","0.7","20.0","15.0","25.8","29.6","3.7","$39.7 ","4.8","3.7","$10,747","11.6","6.0","1,861.9","44.9",2013,2.6,2013,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,14.86549143,"2017","9990","2017","255.4",2017,597,0,0,0
"GHA","Ghana",2018,467438,"109","13","57.5","49.1","44.2","35.5","78.8","82.0","23.9","56.5","59.9","66.3","63.4","70","60","10.8","35.0","25.0","16.5","24.5","28.3","$133.7 ","8.4","5.5","$4,729","2.4","12.4","3,255.0","71.8",2011,0.9,2011,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3.068898007,"2017","14846","2017","51.5",2006,85,0,0,0
"GIB","Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","56","2016","162.9",NA,NA,0,0,0
"GIN","Guinea",1999,58500,"120","19","55.7","34.7","32.6","25.5","69.4","89.8","87.2","54.6","54.9","66.4","63.2","50","40","10.9","40.0","35.0","15.3","18.4","13.0","$26.5 ","6.7","4.9","$2,041","4.5","8.9","576.5","39.7",2011,0.3,2011,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.926022448,"2017","3200","2017","25.2",NA,NA,0,0,0
"GMB","Gambia",2018,53735,"146","30","52.4","39.9","42.5","41.2","74.3","70.7","0.0","54.0","67.4","62.4","61.6","65","50","14.2","35.0","32.0","17.9","31.3","2.1","$3.6 ","3.5","3.1","$1,713","9.5","8.0","87.5","123.2",2011,1.1,2011,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.589980939,"2014","1121","2014","58.5",NA,NA,0,0,0
"GNB","Guinea-Bissau",1998,20400,"135","25","54.0","32.6","42.9","25.3","88.8","86.7","81.4","35.9","61.2","78.1","55.6","30","30","12.2","20.0","25.0","9.6","21.0","1.7","$3.1 ","5.5","4.3","$1,845","6.1","1.1","16.6","42.0",2009,1,2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.823716336,"2017","596","2017","32",NA,NA,0,0,0
"GNQ","Equatorial Guinea",2018,466435.1193,"174","44","41.0","29.7","18.1","15.8","71.3","67.6","16.4","37.6","32.7","83.7","48.8","40","30","15.6","35.0","35.0","20.4","32.8","0.8","$30.4 ","-4.4","-5.6","$36,017","6.9","0.7","304.1","42.7",2010,2.1,2010,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.457877347,"2015","500","2015","42.5",NA,NA,0,0,0
"GRC","Greece",2018,15125933.52,"106","43","57.7","52.4","49.5","37.7","59.1","23.3","79.0","74.1","52.5","79.1","81.0","55","50","2.0","42.0","29.0","38.6","50.6","10.8","$298.7 ","1.4","-0.3","$27,737","21.5","1.1","4,046.0","181.9",2015,4.3,2015,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,21.65527208,"2017","10011","2017","89.7",2013,774.386,0,0,0
"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,3.7,2014,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,9.621906796,"2016","457","2016","425.8",NA,NA,0,0,0
"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,14.35340023,1970,14.35340023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","139","2017","248.2",NA,NA,0,0,0
"GTM","Guatemala",2018,145795,"77","16","62.6","40.3","32.3","26.4","79.2","95.6","96.2","53.6","48.7","77.0","82.2","70","50","1.4","31.0","31.0","12.6","12.1","16.9","$137.8 ","2.8","3.6","$8,145","2.7","4.4","1,146.7","24.4",2014,0.6,2014,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.812072508,"2017","24386","2017","144.2",NA,NA,0,0,0
"GUM","Guam",2009,1172372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,9.849910719,"2017","667","2017","406.7",NA,NA,0,0,0
"GUY","Guyana",2018,26069,"113","23","56.8","41.7","42.9","33.2","67.0","69.4","77.6","59.3","62.0","76.9","66.8","55","30","6.6","33.3","40.0","24.4","32.0","0.8","$6.3 ","2.1","3.5","$8,161","12.0","2.1","212.2","50.7",2014,1.6,2014,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,6.450271243,"2017","2226","2017","286.1",NA,NA,0,0,0
"HKG","Hong Kong",2018,47101822,"1","1","90.2","93.3","75.3","83.8","93.1","90.3","100.0","96.4","89.2","86.4","95.0","90","90","0.0","15.0","16.5","14.0","17.9","7.4","$454.9 ","3.8","2.8","$61,393","3.1","1.5","104,333.0","0.1",1985,4.890900135,1985,4.890900135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,16.87504833,"2017","8306","2017","112.8",NA,NA,132776,16924,80211
"HND","Honduras",2018,411989,"93","20","60.2","43.4","31.0","25.3","82.8","78.2","95.9","56.9","32.0","73.0","79.4","65","60","2.8","25.0","25.0","21.6","27.0","8.3","$46.2 ","4.8","3.6","$5,562","4.5","3.9","1,185.7","43.9",2014,0.7,2014,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.690617659,"2017","19335","2017","208.7",NA,NA,0,0,0
"HRV","Croatia",2018,2093577,"86","38","61.4","66.0","42.9","38.6","66.4","33.4","85.4","60.7","44.0","78.5","86.0","75","60","2.0","40.0","18.0","37.9","47.1","4.1","$101.3 ","2.8","1.5","$24,424","11.2","1.1","2,104.2","78.4",2015,5.6,2015,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,20.44543301,"2016","3108","2016","73.8",2018,756,0,0,0
"HTI","Haiti",1991,0,"143","25","52.7","10.4","25.3","20.3","79.9","88.3","95.9","36.2","62.6","66.5","72.0","45","30","6.5","30.0","30.0","14.5","19.7","11.0","$19.9 ","1.2","2.2","$1,815","14.0","14.7","374.9","31.1",2013,0.7,2013,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.949403848,"2017","8882","2017","80.9",NA,NA,0,0,0
"HUN","Hungary",2018,31226848,"64","31","65.0","60.9","45.2","35.3","78.6","31.7","85.0","61.1","64.7","81.8","86.0","80","70","2.0","15.0","19.0","39.4","47.7","9.8","$289.0 ","4.0","3.2","$29,474","4.2","2.4","2,491.6","69.9",2013,7,2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,19.15772538,"2017","17343","2017","178.4",2018,5518,0,0,0
"IDN","Indonesia",2018,115154100.9,"56","11","65.8","52.2","53.5","39.5","83.7","91.4","88.1","69.3","49.3","77.4","79.8","45","60","2.6","30.0","25.0","10.4","16.9","262.0","$3,242.8 ","5.1","5.1","$12,377","4.2","3.8","23,063.1","28.9",2015,1.2,2015,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,5.857165613,"2017","246005","2017","93.2",2017,25654,130,0,109
"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1.584279384,2009,1.584279384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","106","2017","126.2",NA,NA,0,0,0
"IND","India",2018,164035637.5,"129","31","55.2","57.3","61.6","47.8","79.4","77.3","14.7","57.1","41.8","72.4","72.4","40","40","6.3","30.9","32.4","7.2","27.5","1316.9","$9,459.0 ","6.7","7.2","$7,183","3.5","3.6","39,916.1","70.2",2011,0.7,2011,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,6.179955649,"2015","419623","2015","32.1",2017,1149835,158,0,145
"IRL","Ireland",2018,167598633,"6","2","80.5","85.8","68.4","78.0","76.3","77.4","89.0","83.1","75.3","87.0","86.0","90","70","2.0","41.0","12.5","23.0","27.4","4.7","$357.2 ","7.8","9.7","$75,538","6.4","0.3","28,974.6","68.5",2013,2.8,2013,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,13.8658017,"2017","3738","2017","78.5",2017,2122,99,0,75
"IRN","Iran",2018,25604871.41,"155","13","51.1","33.5","41.3","35.0","80.9","89.8","89.5","62.2","50.7","60.1","54.6","5","10","15.2","35.0","25.0","8.0","18.5","81.4","$1,644.7 ","4.3","3.6","$20,200","12.5","9.9","5,019.0","40.9",2014,1.5,2014,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,6.184573806,"2017","230000","2017","283.4",2017,13270,0,0,0
"IRQ","Iraq",2018,2075065.8,"N/A","N/A","N/A","37.0","12.3","20.3","N/A","52.8","13.3","54.4","53.1","81.4","N/A","N/A","N/A","N/A","15.0","15.0","N/A","39.7","38.9","$658.8 ","-0.8","4.7","$16,954","8.2","0.1","-5,032.4","58.0",2014,1.4,2014,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3.323599663,"2015","45000","2015","145",2010,99.683,0,0,0
"ISL","Iceland",2018,7819740.56,"11","4","77.1","87.4","63.8","83.8","72.7","44.0","96.7","88.4","64.1","81.7","87.0","85","70","1.5","31.8","20.0","36.4","43.2","0.3","$17.6 ","3.6","4.4","$51,842","2.8","1.8","-5.4","40.9",2014,3.2,2014,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,14.79509256,"2017","131","2017","39.1",NA,NA,0,0,0
"ISR","Israel",2018,7404373,"27","2","72.8","80.0","73.4","67.9","61.9","52.4","85.3","71.4","65.1","86.2","84.4","75","70","2.8","48.0","23.0","31.2","39.8","8.7","$316.5 ","3.3","3.5","$36,340","4.3","0.2","18,954.0","61.0",2013,3.1,2013,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,11.97698602,"2017","19325","2017","232.2",2017,2765,0,0,0
"ITA","Italy",2018,27630435.6,"80","36","62.2","71.7","49.8","43.7","55.6","26.5","71.3","71.7","51.1","84.0","86.0","85","50","2.0","43.0","27.5","42.9","49.5","60.6","$2,310.9 ","1.5","0.3","$38,140","11.2","1.3","17,077.1","131.5",2012,3.4,2012,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,22.7516796,"2017","59655","2017","100.5",2018,39449,577,0,471
"JAM","Jamaica",2018,180951.272,"39","5","68.6","60.7","49.2","45.0","80.2","76.0","80.0","78.0","73.6","82.6","68.4","80","50","10.8","25.0","25.0","27.1","28.3","2.8","$26.1 ","1.0","0.8","$9,163","12.5","4.4","888.0","104.1",2013,1.7,2013,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,8.796642551,"2017","3857","2017","133.5",NA,NA,0,0,0
"JOR","Jordan",2018,3383805,"53","4","66.5","58.4","52.6","50.3","91.4","73.4","60.6","61.8","52.7","85.0","81.4","70","60","4.3","14.0","20.0","16.3","29.8","7.1","$89.1 ","2.3","2.5","$12,494","14.9","3.3","1,664.8","95.6",2015,1.4,2015,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3.846490398,"2017","15700","2017","161.8",2010,503.537,0,0,0
"JPN","Japan",2018,126387527,"30","8","72.1","84.1","68.5","78.0","68.2","55.0","55.7","80.5","79.0","85.9","80.0","70","60","2.5","40.8","23.9","30.7","38.7","126.7","$5,428.8 ","1.7","1.3","$42,832","2.8","0.5","10,429.8","236.4",2012,13.4,2012,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,27.57636991,"2017","51805","2017","40.6",2018,1410,45,0,0
"KAZ","Kazakhstan",2018,7143797,"59","12","65.4","59.3","56.1","40.3","93.4","83.7","41.0","73.9","86.2","70.9","80.0","50","50","2.5","10.0","20.0","12.8","23.3","18.2","$477.6 ","4.0","3.3","$26,252","4.9","7.4","4,633.7","21.2",2013,6.7,2013,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,7.391846271,"2017","33989","2017","186.7",2017,19241.2,0,0,0
"KEN","Kenya",2018,5935831.097,"130","22","55.1","53.8","46.9","32.1","79.5","77.8","13.8","55.8","63.4","72.7","60.4","55","50","12.3","30.0","30.0","15.7","27.2","46.7","$163.1 ","4.8","5.5","$3,491","11.5","8.0","671.7","55.6",2010,1.4,2010,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.339186612,"2017","51021","2017","102.7",2007,109.24,0,0,0
"KGZ","Kyrgyzstan",2018,709198.9325,"79","17","62.3","49.9","27.9","27.2","94.1","54.2","78.4","73.4","79.8","74.4","78.6","60","50","3.2","10.0","10.0","19.7","39.1","6.3","$23.0 ","4.5","5.4","$3,667","7.3","3.2","93.8","59.1",2013,4.5,2013,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.494727976,"2017","10574","2017","174.9",2017,43,0,0,0
"KHM","Cambodia",2018,1411059,"105","22","57.8","37.4","27.6","16.7","89.7","85.9","89.1","29.9","63.0","79.4","65.4","60","50","9.8","20.0","20.0","15.0","21.7","16.0","$64.3 ","6.9","7.1","$4,012","0.2","2.9","2,784.4","35.1",2015,0.8,2015,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.568680018,"2017","31008","2017","193.7",2005,45,0,0,0
